PM_ID,Asset_ID,Equipment_Name,Location,PM_Type,Frequency,Scheduled_Date,Completed_Date,Status,Technician,Duration_Hours,LOTO_Required,Findings,Follow_Up_WO,Notes
PM-2025-058,L2-STS-001,Servo Torque Station 1,Line 2,Socket Wear Inspection,Weekly,2025-12-21,2025-12-21,Completed,Carlos Vargas,0.5,No,Sockets replaced preventively,,Parts used: SK-STS-M8 x3
PM-2025-059,L3-LBL-001,Labeling System,Line 3,Sensor Calibration Check,Monthly,2025-12-18,2025-12-19,Completed,Hector Galindo,1.0,No,Sensors recalibrated,,
PM-2025-060,UT-HVC-001,HVAC Units,Utilities,Filter Replacement,Quarterly,2025-12-21,2025-12-21,Completed,Contractor - ClimatePro,2.0,No,All filters replaced,,
PM-2025-061,L1-PRS-001,600-Ton Press #1,Line 1,Hydraulic System Inspection,Monthly,2025-12-31,2025-12-31,Completed,Yolanda Garibay,2.6,Yes,System normal; oil analysis results good,,
PM-2025-062,L2-SAF-001,Light Curtains / Interlocks,Line 2,Safety Device Function Test,Monthly,2026-01-05,2026-01-05,Completed,Carlos Vargas,1.4,Yes,Cell A light curtain response slow,WO-2026-003,Receiver unit ordered
PM-2025-063,L3-ACC-001,Accumulation Conveyor,Line 3,Photo-eye Sensor Cleaning,Weekly,2026-01-08,2026-01-08,Completed,Hector Galindo,0.5,No,Heavy dust accumulation; extra cleaning performed,,Recommended increasing frequency
PM-2025-064,L1-CFL-001,Coil Feed System,Line 1,Feed Roller Inspection,Monthly,2026-01-10,2026-01-10,Completed,Yolanda Garibay,1.5,Yes,Rollers within spec; minor scoring observed,,Monitor next PM
PM-2025-065,L2-RBA-001,Robot Cell A (Fanuc),Line 2,Servo Motor Current Check,Monthly,2026-01-12,2026-01-12,Completed,Carlos Vargas,2.1,Yes,All axes within baseline,,
PM-2025-066,L3-SWM-001,Stretch Wrap Machine,Line 3,Turntable Bearing Inspection,Monthly,2026-01-12,2026-01-12,Completed,Verónica Madrigal,1.4,Yes,Bearings normal,,
PM-2025-067,L1-PRS-002,600-Ton Press #2,Line 1,Lubrication System Check,Monthly,2026-01-13,2026-01-13,Completed,Yolanda Garibay,1.5,Yes,Pump repaired; system operating normally,,Per WO-2025-145
PM-2025-068,L2-RBB-001,Robot Cell B (Fanuc),Line 2,Guard Interlock Verification,Monthly,2026-01-17,2026-01-17,Completed,Carlos Vargas,0.9,Yes,All interlocks functional,,
PM-2025-069,L3-PAL-001,Palletizer,Line 3,Gripper Mechanism Inspection,Monthly,2026-01-20,2026-01-20,Completed,Gabriela Núñez,1.9,Yes,Gripper pads replaced,,Parts used: GP-PAL-001 x4
PM-2025-070,UT-CMP-001,Air Compressor #1,Utilities,Oil and Filter Change,Quarterly,2026-01-21,2026-01-21,Completed,Ricardo Hidalgo,2.0,No,Oil and filters replaced,,Next due April
PM-2025-071,L1-HPU-001,Hydraulic Power Unit,Line 1,Filter Replacement,Monthly,2026-01-20,2026-01-20,Completed,Yolanda Garibay,1.0,No,Filters replaced,,Parts used: HF-HPU-001 x2
PM-2025-072,L2-STS-002,Servo Torque Station 2,Line 2,Two-Hand Control Test,Monthly,2026-01-27,2026-01-27,Completed,Carlos Vargas,0.5,No,All functions verified,,
PM-2025-073,L3-CNV-001,Main Conveyor Zone 1-4,Line 3,Drive Motor Inspection,Monthly,2026-01-22,2026-01-22,Completed,Juan Pablo Tovar,2.0,Yes,All zones normal,,
PM-2025-074,L1-SCV-001,Scrap Conveyor,Line 1,Chain Replacement,Annual,2026-01-26,2026-01-26,Completed,Yolanda Garibay,4.1,Yes,New chain installed per WO-2025-168,,Weekend shutdown work
PM-2025-075,L2-VIS-001,Vision Inspection System,Line 2,Camera Lens Cleaning,Weekly,2026-01-29,2026-01-29,Scheduled,Carlos Vargas,0.5,No,,,
PM-2025-076,L3-LBL-001,Labeling System,Line 3,Peel Edge Alignment,Weekly,2026-01-25,2026-01-25,Scheduled,Hector Galindo,0.5,No,,,
PM-2025-077,L1-PRS-001,600-Ton Press #1,Line 1,Clutch/Brake Inspection,Monthly,2026-01-29,,Scheduled,Yolanda Garibay,2.8,Yes,,,
PM-2025-078,L2-SAF-001,Light Curtains / Interlocks,Line 2,Safety Device Function Test,Monthly,2026-02-01,,Scheduled,Carlos Vargas,1.5,Yes,,,
PM-2025-079,L3-PAL-001,Palletizer,Line 3,Pneumatic System Inspection,Monthly,2026-02-01,,Scheduled,Gabriela Núñez,1.5,Yes,,,
PM-2025-080,UT-ELC-001,Main Electrical Panels,Utilities,Thermal Imaging Survey,Quarterly,2026-02-03,,Scheduled,Contractor - ThermoTech,3.8,No,,,
