Feed_ID,Part_ID,Source,Signal_Date,Symptom_Text,Potential_Safety,Linked_Claim_ID
FFF-0028,SNS-PRX-002,Fleet Telematics,2026-02-02,Proximity Sensor 002 observation,N,WCL-2026-0028
FFF-0029,OPT-LNS-002,Dealer Report,2026-02-03,Optical Lens 002 observation,N,WCL-2026-0029
FFF-0030,OPT-FLT-002,OEM Portal,2026-02-04,Optical Filter 002 observation,N,WCL-2026-0030
FFF-0031,CST-HSG-05,Dealer Report,2026-02-05,Cast Housing 05 observation,N,WCL-2026-0031
FFF-0032,CST-HSG-06,OEM Portal,2026-02-06,Cast Housing 06 observation,N,WCL-2026-0032
FFF-0033,BRG-RAD-090,Fleet Telematics,2026-02-07,Radial Bearing 090 observation,N,WCL-2026-0033
FFF-0034,LUB-OIL-MULTI,Dealer Report,2026-02-08,Multi-purpose Oil observation,N,WCL-2026-0034
FFF-0035,ADH-CYAN-50ML,OEM Portal,2026-02-09,Cyanoacrylate 50ml observation,N,WCL-2026-0035
FFF-0036,SPR-COIL-022,Dealer Report,2026-02-10,Coil Spring 022 observation,N,WCL-2026-0036
FFF-0037,SPR-LEAF-118,OEM Portal,2026-02-11,Leaf Spring 118 observation,N,WCL-2026-0037
FFF-0038,GEAR-PIN-018,Fleet Telematics,2026-02-12,Pinion Gear 018 observation,N,WCL-2026-0038
FFF-0039,GEAR-SPR-024,Dealer Report,2026-02-13,Spur Gear 024 observation,N,WCL-2026-0039
FFF-0040,CMP-TRIM-A,OEM Portal,2026-02-14,Composite Trim A observation,N,WCL-2026-0040
FFF-0041,CMP-TRIM-B,Dealer Report,2026-02-15,Composite Trim B observation,N,WCL-2026-0041
FFF-0042,CTG-PAINT-WHT,OEM Portal,2026-02-16,White Paint Coating observation,N,WCL-2026-0042
FFF-0043,CTG-PAINT-BLK,Fleet Telematics,2026-02-17,Black Paint Coating observation,N,WCL-2026-0043
FFF-0044,SRV-MOTOR-220,Dealer Report,2026-02-18,Servo Motor 220 observation,N,WCL-2026-0044
FFF-0045,SRV-MOTOR-330,OEM Portal,2026-02-19,Servo Motor 330 observation,N,WCL-2026-0045
FFF-0046,HYD-PUMP-A,Dealer Report,2026-02-20,Hydraulic Pump A observation,N,WCL-2026-0046
FFF-0047,HYD-PUMP-B,OEM Portal,2026-02-21,Hydraulic Pump B observation,N,WCL-2026-0047
FFF-0048,PLA-CLIP-A,Fleet Telematics,2026-02-22,Plastic Clip A observation,N,WCL-2026-0048
FFF-0049,PLA-CLIP-B,Dealer Report,2026-02-23,Plastic Clip B observation,N,WCL-2026-0049
FFF-0050,TRIM-INT-001,OEM Portal,2026-02-24,Interior Trim 001 observation,N,WCL-2026-0050
FFF-0051,TRIM-INT-002,Dealer Report,2026-02-25,Interior Trim 002 observation,N,WCL-2026-0051
